Date,KOSEF 단기자금(A130730),KODEX 인버스(A114800),KODEX 은선물(H)(A144600),KODEX 삼성그룹(A102780),KODEX 레버리지(A122630),KODEX 골드선물(H)(A132030),KODEX 건설(A117700),KODEX 200(A069500),KINDEX 레버리지(A152500),KINDEX 200(A105190)
2013-09-02,102100.0,7855.0,6120.0,6195.0,11240.0,10770.0,3710.0,25045.0,4300.0,25095.0
2013-09-03,102145.0,7825.0,6135.0,6245.0,11325.0,10730.0,3780.0,25150.0,4320.0,25205.0
2013-09-04,102155.0,7825.0,6070.0,6250.0,11330.0,10825.0,3840.0,25130.0,4325.0,25200.0
2013-09-05,102170.0,7735.0,5900.0,6275.0,11560.0,10665.0,3855.0,25415.0,4410.0,25475.0
2013-09-06,102180.0,7720.0,5915.0,6290.0,11620.0,10580.0,3840.0,25490.0,4430.0,25550.0
2013-09-09,102215.0,7650.0,6015.0,6325.0,11820.0,10675.0,3945.0,25715.0,4505.0,25815.0
2013-09-10,102215.0,7570.0,5950.0,6335.0,12080.0,10605.0,3960.0,26010.0,4610.0,26055.0
2013-09-11,102210.0,7540.0,5850.0,6355.0,12175.0,10515.0,4030.0,26095.0,4640.0,26150.0
2013-09-12,102245.0,7535.0,5825.0,6380.0,12185.0,10470.0,3985.0,26125.0,4650.0,26210.0
2013-09-13,102250.0,7575.0,5510.0,6325.0,12065.0,10115.0,3975.0,25985.0,4595.0,26030.0
2013-09-16,102295.0,7490.0,5605.0,6360.0,12340.0,10245.0,4055.0,26275.0,4705.0,26350.0
2013-09-17,102390.0,7535.0,5600.0,6330.0,12220.0,10120.0,4070.0,26140.0,4650.0,26210.0
2013-09-23,102335.0,7525.0,5465.0,6400.0,12260.0,10200.0,4045.0,26195.0,4665.0,26225.0
2013-09-24,102320.0,7520.0,5560.0,6390.0,12240.0,10235.0,4020.0,26175.0,4665.0,26275.0
2013-09-25,102290.0,7575.0,5530.0,6350.0,12085.0,10205.0,3985.0,26015.0,4610.0,26125.0
2013-09-26,102350.0,7505.0,5545.0,6395.0,12295.0,10260.0,4005.0,26265.0,4680.0,26335.0
2013-09-27,102340.0,7500.0,5495.0,6415.0,12320.0,10230.0,3960.0,26295.0,4695.0,26310.0
