Date,Ajax,Juventus,"Celtic,PLC","Roma,asr",Besiktas,Fenerbahce,Borussia dotmund,Manchester United,"Lazio,ssl"
2013-09-02,10105.0,267.0,67762.0,820.0,2699.0,42202.0,4793.0,13391.0,541.0
2013-09-03,9925.0,265.0,67762.0,744.0,2806.0,41132.0,4580.0,13631.0,529.0
2013-09-04,9629.0,294.0,68356.0,928.0,2817.0,41489.0,4548.0,13393.0,666.0
2013-09-05,9512.0,282.0,68356.0,912.0,2722.0,41251.0,4422.0,14379.0,624.0
2013-09-06,9629.0,287.0,68356.0,895.0,2603.0,39587.0,4456.0,13924.0,596.0
2013-09-09,9510.0,289.0,68356.0,987.0,2520.0,39587.0,4311.0,13644.0,634.0
2013-09-10,9273.0,289.0,68356.0,1001.0,2556.0,40776.0,4289.0,13575.0,618.0
2013-09-11,9285.0,288.0,68356.0,997.0,2520.0,41370.0,4336.0,14553.0,619.0
2013-09-12,9273.0,285.0,68356.0,927.0,2496.0,40419.0,4512.0,13981.0,603.0
2013-09-13,9154.0,293.0,68356.0,939.0,2413.0,38042.0,4408.0,14467.0,618.0
2013-09-16,9154.0,290.0,68356.0,925.0,2306.0,37566.0,4238.0,14526.0,642.0
2013-09-17,9154.0,287.0,68356.0,925.0,2318.0,38042.0,4166.0,15098.0,618.0
2013-09-23,9154.0,287.0,68356.0,895.0,2342.0,38517.0,4112.0,14604.0,621.0
2013-09-24,9392.0,280.0,68356.0,856.0,2556.0,39230.0,4267.0,14505.0,595.0
2013-09-25,9748.0,280.0,68356.0,849.0,2639.0,39944.0,4243.0,14509.0,583.0
2013-09-26,9541.0,277.0,68356.0,845.0,2603.0,39349.0,4451.0,14283.0,605.0
2013-09-27,9747.0,279.0,68356.0,831.0,2556.0,38874.0,4410.0,14484.0,585.0
2013-09-30,9541.0,288.0,68356.0,876.0,2544.0,38993.0,4446.0,14467.0,596.0
2013-10-01,9541.0,291.0,67167.0,850.0,2603.0,39230.0,4485.0,14560.0,594.0
2013-10-02,9510.0,269.0,67762.0,852.0,2615.0,39349.0,4427.0,14577.0,594.0
2013-10-04,9510.0,267.0,68356.0,843.0,2580.0,38755.0,4384.0,14600.0,603.0
2013-10-07,9510.0,267.0,71328.0,832.0,2592.0,38874.0,4434.0,14505.0,586.0
2013-10-08,9570.0,269.0,75192.0,848.0,2568.0,38755.0,4431.0,14644.0,603.0
2013-10-10,9510.0,266.0,75192.0,808.0,2556.0,39112.0,4219.0,14848.0,583.0
2013-10-11,9598.0,264.0,75192.0,806.0,2532.0,38279.0,4208.0,14543.0,583.0
2013-10-14,9255.0,262.0,75192.0,805.0,2425.0,36853.0,4318.0,14295.0,577.0
2013-10-15,9344.0,266.0,74894.0,835.0,2473.0,37209.0,4391.0,14288.0,587.0
2013-10-16,9304.0,263.0,74894.0,830.0,2437.0,36853.0,4267.0,14167.0,588.0
2013-10-17,9510.0,264.0,71328.0,813.0,2473.0,37209.0,4278.0,13485.0,603.0
2013-10-18,9535.0,267.0,75192.0,802.0,2485.0,37328.0,4376.0,13035.0,590.0
2013-10-21,9374.0,267.0,75192.0,810.0,2425.0,37209.0,4372.0,12758.0,579.0
